"n";"port443";"familia";"especie_subespecie_var";"categoria"
1;"*";"Acanthaceae";"Aphelandra espirito-santensis";"EN"
2;"*";"Acanthaceae";"Aphelandra margaritae";"VU"
3;"*";"Acanthaceae";"Aphelandra maximiliana";"EN"
4;"";"Acanthaceae";"Aphelandra rigida";"EN"
5;"";"Acanthaceae";"Aphelandra stephanophysa";"VU"
6;"*";"Acanthaceae";"Dyschoriste lavandulacea";"EN"
7;"*";"Acanthaceae";"Dyschoristesmithii";"CR"
8;"*";"Acanthaceae";"Justicia clausseniana";"EN"
9;"*";"Acanthaceae";"Justiciagenuflexa";"VU"
10;"";"Acanthaceae";"Justicia meyeniana";"EN"
11;"";"Acanthaceae";"Justicia nervata";"EN"
12;"*";"Acanthaceae";"Justicia polita";"EN"
13;"*";"Acanthaceae";"Justicia ramulosa";"VU"
14;"*";"Acanthaceae";"Justicia tijucensis";"VU"
15;"*";"Acanthaceae";"Odontonema dissitiflorum";"EN"
16;"*";"Acanthaceae";"Pachystachysdubiosa";"EN"
17;"*";"Acanthaceae";"Schaueriaparanaensis";"EN"
18;"*";"Acanthaceae";"Staurogynebrachiata";"EN"
19;"*";"Acanthaceae";"Staurogyneelegans";"VU"
20;"";"Acanthaceae";"Staurogyneeuryphylla";"EN"
21;"*";"Acanthaceae";"Staurogyneitatiaiae";"EN"
22;"*";"Acanthaceae";"Staurogynevauthieriana";"EN"
23;"*";"Acanthaceae";"Staurogyneveronicifolia";"EN"
24;"*";"Acanthaceae";"Staurogyne warmingiana";"EN"
25;"*";"Acanthaceae";"Stenandrium hatschbachii";"EN"
26;"*";"Acanthaceae";"Stenandrium stenophyllum";"EN"
27;"";"Achariaceae";"Kuhlmanniodendron macrocarpum";"EN"
28;"*";"Alismataceae";"Sagittarialancifolia";"VU"
29;"*";"Alstroemeriaceae";"Alstroemeriaamabilis";"EN"
30;"*";"Alstroemeriaceae";"Alstroemeriabrasiliensis";"EN"
31;"*";"Alstroemeriaceae";"Alstroemeria capixaba";"CR"
32;"*";"Alstroemeriaceae";"Alstroemeria caryophyllaea";"EN"
33;"*";"Alstroemeriaceae";"Alstroemeria malmeana";"CR"
34;"*";"Alstroemeriaceae";"Alstroemeriaorchidioides";"EN"
35;"*";"Alstroemeriaceae";"Alstroemeriapenduliflora";"EN"
36;"*";"Amaranthaceae";"Alternantherahirtula";"VU"
37;"*";"Amaranthaceae";"Alternantherajanuarensis";"EN"
38;"*";"Amaranthaceae";"Amaranthus rosengurtii";"EN"
39;"*";"Amaranthaceae";"Froelichiellagrisea";"EN"
40;"*";"Amaranthaceae";"Gomphrena centrota";"EN"
41;"*";"Amaranthaceae";"Gomphrena hatschbachiana";"EN"
42;"*";"Amaranthaceae";"Gomphrenanigricans";"CR"
43;"*";"Amaranthaceae";"Gomphrenaparanensis";"VU"
44;"*";"Amaranthaceae";"Gomphrenapulchella";"EN"
45;"*";"Amaranthaceae";"Gomphrena regeliana";"VU"
46;"*";"Amaranthaceae";"Pfaffia argyrea";"EN"
47;"*";"Amaranthaceae";"Pfaffia minarum";"VU"
48;"*";"Amaranthaceae";"Quaternellaglabratoides";"EN"
49;"*";"Amaryllidaceae";"Griffiniaaracensis";"CR"
50;"*";"Amaryllidaceae";"Griffinia colatinensis";"CR"
51;"*";"Amaryllidaceae";"Griffinia espiritensis";"EN"
52;"*";"Amaryllidaceae";"Griffiniagardneriana";"EN"
53;"*";"Amaryllidaceae";"Griffiniahyacinthina";"EN"
54;"";"Amaryllidaceae";"Griffiniaintermedia";"EN"
55;"*";"Amaryllidaceae";"Griffinialiboniana";"EN"
56;"*";"Amaryllidaceae";"Griffinia nocturna";"CR"
57;"*";"Amaryllidaceae";"Griffiniaparviflora";"CR"
58;"*";"Amaryllidaceae";"Griffiniapaubrasilica";"CR"
59;"*";"Amaryllidaceae";"Hippeastrum angustifolium";"VU"
60;"*";"Amaryllidaceae";"Hippeastrum brasilianum";"EN"
61;"*";"Amaryllidaceae";"Hippeastrumbreviflorum";"EN"
62;"*";"Amaryllidaceae";"Hippeastrumleucobasis";"CR"
63;"*";"Amaryllidaceae";"Hippeastrum morelianum";"VU"
64;"*";"Amaryllidaceae";"Hippeastrum";"CR"
65;"*";"Amaryllidaceae";"Hippeastrum psittacinum";"EN"
66;"*";"Amaryllidaceae";"Hippeastrum";"EN"
67;"*";"Amaryllidaceae";"Hippeastrum santacatarina";"EN"
68;"*";"Amaryllidaceae";"Hippeastrumstriatum";"EN"
69;"*";"Amaryllidaceae";"Hippeastrumvittatum";"EN"
70;"*";"Amaryllidaceae";"Worsleyaprocera";"EN"
71;"*";"Amaryllidaceae";"Zephyranthes blumenavia";"EN"
72;"*";"Amaryllidaceae";"Zephyranthescandida";"EN"
73;"*";"Amaryllidaceae";"Zephyranthescapivarina";"VU"
74;"*";"Amaryllidaceae";"Zephyranthescoerulea";"VU"
75;"*";"Amaryllidaceae";"Zephyranthesirwiniana";"VU"
76;"*";"Amaryllidaceae";"Zephyranthes paranaensis";"EN"
77;"*";"Anacardiaceae";"Astroniumbalansae";"EN"
78;"";"Anacardiaceae";"Astroniumglaziovii";"EN"
