Especie
Manilkara huberi
Dinizia excelsa
Goupia glabra
Hymenaea courbaril
Dipteryx odorata
Couratari guianensis
Erisma uncinatum
Apuleia leiocarpa
Hymenolobium petraeum
Astronium lecointei
Qualea paraensis
Tabebuia serratifolia
Qualea albiflora
Mezilaurus itauba
Cariniana micrantha
Caryocar villosum
Apuleia molaris
Cedrelinga cateniformis
Schizolobium amazonicum
Allantoma lineata
Clarisia racemosa
Hura crepitans
Ceiba pentandra
Simarouba amara
Enterolobium schomburgkii
Handroanthus serratifolius
Piptadenia suaveolens
Trattinnickia burseraefolia
Couratari oblongifolia
Peltogyne paniculata
Ocotea rubra
Castilla ulei
Pouteria caimito
Chrysophyllum venezuelanense
Bagassa guianensis
Hymenolobium excelsum
Cedrela odorata
Tabebuia impetiginosa
Tachigali paniculata
Micropholis venulosa
Bowdichia nitida
Handroanthus impetiginosum
Ocotea neesiana
Eperua oleifera
Lecythis lurida
Carapa guianensis
Manilkara elata
Couratari tauari
Parkia pendula
Parkia paraensis
Vatairea sericea
Caryocar glabrum
Hymenaea parvifolia
Couratari stellata
Eschweilera grandiflora
Pouteria guianensis
Terminalia amazonica
Peltogyne lecointei
Peltogyne catingae
Eschweilera odora
Martiodendron elatum
Manilkara paraensis
Brosimum rubescens
Pouteria pachycarpa
Buchenavia huberi
Enterolobium contortisiliquum
Dipteryx spp.
Alexa grandiflora
Amburana acreana
Pouteria pariry
Scleronema micranthum
Brosimum parinarioides
Sclerolobium paniculatum
Lecythis pisonis
Protium heptaphyllum
Vochysia guianensis
Macrolobium latifolium
Terminalia tanibouca
Tetragastris panamensis
Copaifera multijuga
Protium robustum
Manilkara bidentata
Vatairea paraensis
Buchenavia capitata
Brosimum guianense
Hymenolobium heterocarpum
Manilkara inundata
Qualea dinizii
Parkia multijuga
Eschweilera coriacea
Hymenolobium modestum
Ceiba samauma
Pouteria oppositifolia
Cariniana estrellensis
Machaerium macrophyllum
Buchenavia parvifolia
Protium paraense
Hymenolobium complicatum
Endopleura uchi
Erisma lanceolatum
Vochysia maxima
Dialium guianense
Hymenolobium pulcherrimum
Ocotea spixiana
Cordia goeldiana
Caryocar microcarpum
Pseudopiptadenia psilostachya
Tachigali myrmecophila
Pouteria venosa
Buchenavia grandis
Pouteria ramiflora
Vataireopsis speciosa
Brosimum alicastrum
Licania parinarioides
Hymenolobium elatum
Vatairea guianensis
Aspidosperma macrocarpon
Diplotropis purpurea
Erisma calcaratum
Jacaranda copaia
Guarea guidonia
Chrysophyllum lucentifolium
Hymenaea oblongifolia
Guarea silvatica
Buchenavia viridiflora
Peltogyne densiflora
Phyllocarpus riedelii
Protium puncticulatum
Peltogyne angustiflora
Neoxythece robusta
Torresea acreana
Dipteryx polyphylla
Ocotea cymbarum
Lecythis chartacea
Anacardium giganteum
Manilkara longifolia
Qualea brevipedicellata
Sarcaulus brasiliensis
Micropholis melinoniana
Virola sebifera
Parkia nítida
Lecythis idatimon
Astronium fraxinifolium
Brosimum paraense
Sclerolobium paraense
Lecythis zabucajo
Qualea lancifolia
Astronium ulei
Myroxylon balsamum
Minquartia guianensis
Iryanthera paraensis
Eucalyptus dalrympleana
Copaifera langsdorffii
Copaifera guianensis
Erisma bicolor
Holopyxydium jarana
Dipteryx trifoliata
Licania glabra
Aspidosperma polyneuron
Dipteryx magnifica
Buchenavia tomentosa
Couratari macrosperma
Vatairea fusca
Manilkara amazonica
Planchonella pachycarpa
Aspidosperma desmanthum
Protium paniculatum
Trattinnickia rhoifolia
Andira parviflora
Lecythis poiteaui
Terminalia amazônica
Vochysia vismiifolia
Goupia paraensis
Enterolobium maximum
Parkia oppositifolia
Hymenaea reticulata
Ocotea fragrantissima
Calophyllum brasiliense
Sclerolobium chrysophyllum
Albizia hasslerii
Calycophyllum spruceanum
Pouteria venosa amazonica
Sextonia rubra
Vochysia paraensis
Eschweilera pedicellata
Pithecellobium edwallii
Manilkara cavalcantei
Bastardiopsis densiflora
Sclerolobium melanocarpum
Couma guianensis
Licaria rigida
Ocotea puberula
Guarea macrophylla
Pouteria bilocularis
Diplotropis racemosa
Caryocar gracile
Vochysia inundata
Vochysia floribunda
Pseudolmedia multinervis
Eriotheca longipedicellata
